date,open,high,low,close,volume
2018-01-07,16174.22,16275.0,15511.0,15862.9,4676.87281863
2018-01-08,15862.91,15940.02,14000.0,14993.74,16413.21680909
2018-01-09,14481.0,14525.0,14023.14,14227.0,5749.75639618
2018-01-10,14875.17,14970.0,12800.01,13193.72,12498.09346774
2018-01-11,13193.72,14193.5,12916.18,13308.06,13183.74578895
2018-01-12,13618.01,14080.83,13379.99,13820.0,8795.65129435
2018-01-13,14210.65,14500.0,14001.0,14187.95,6107.49996331
2018-01-14,13656.23,13750.0,13416.0,13600.0,1972.922866
2018-01-15,13590.0,13643.66,12731.56,13149.9,9853.5080346
2018-01-16,11570.01,12358.89,10545.84,11148.07,11933.29284464
2018-01-17,11148.07,11634.12,9005.0,11200.01,46963.43197242
2018-01-18,11046.0,12123.1,10687.21,11305.53,19300.64795552
2018-01-19,11400.0,11973.99,11065.34,11498.99,10912.01503514
2018-01-20,12762.8,12762.8,12082.23,12107.99,4324.79825639
2018-01-21,11518.17,11739.96,11245.0,11455.0,3714.67479279
2018-01-22,11455.01,11849.0,10025.0,10766.7,19687.34615376
2018-01-23,10413.13,11370.0,9945.0,10824.94,15455.25763061
2018-01-24,11356.8,11690.0,11238.63,11487.28,5438.43238812
2018-01-25,11118.0,11570.0,11087.89,11287.8,3573.98772595
2018-01-26,11287.81,11380.0,10305.0,11086.89,14744.24613127
2018-01-27,11319.0,11644.0,11234.38,11531.01,3352.80698814
2018-01-28,11531.01,11697.24,11251.0,11536.0,9750.11567392
2018-01-29,11123.01,11150.0,10803.0,10940.01,3250.28771276
2018-01-30,9995.0,10075.83,9601.02,9870.49,9324.06118407
2018-01-31,10099.99,10166.25,9856.0,10049.98,2856.30123204
2018-02-01,9014.22,9025.76,8500.01,8527.02,8887.80161888
2018-02-02,8527.02,9090.08,7540.0,8787.52,36947.92290421
2018-02-03,9227.8,9279.99,8923.34,9277.75,3463.87189753
2018-02-04,8167.9,8349.16,7880.0,8197.45,5875.06986901
2018-02-05,6905.2,7097.5,5907.25,6389.09,25234.78645764
2018-02-06,7688.47,7819.96,7212.82,7455.0,12955.82919555
2018-02-07,7575.76,8228.41,7550.0,7971.23,9240.86045495
2018-02-08,8218.07,8234.46,7750.0,7875.01,9569.92431232
2018-02-09,8671.0,8980.96,8592.0,8860.07,6945.20909983
2018-02-10,8547.48,8547.49,8000.5,8112.16,6572.55317886
2018-02-11,8073.0,8549.01,8072.99,8362.7,5981.61614834
2018-02-12,8872.27,8925.0,8558.48,8616.98,4571.82206298
2018-02-13,8520.01,8849.99,8520.0,8823.53,4759.37759504
2018-02-14,9472.98,9745.63,9342.46,9700.0,7291.96257645
2018-02-15,9700.0,10249.81,9502.1,10031.23,21543.5339815
2018-02-16,10167.49,10588.0,10057.0,10555.42,5320.59852437
2018-02-17,11121.5,11299.1,10480.15,10483.99,9459.73934369
2018-02-18,10483.99,10898.0,10159.0,10380.04,14519.23858061
2018-02-19,11140.0,11494.05,11139.99,11437.04,6656.76306201
2018-02-20,11235.57,11279.99,10650.0,10824.54,11175.46166591
2018-02-21,10824.54,11180.02,10250.0,10454.27,16412.54366357
2018-02-22,10793.01,10900.0,9715.27,9830.0,21180.65807106
2018-02-23,10144.99,10494.14,10109.0,10445.44,4004.52563358
2018-02-24,10445.44,10489.26,9372.72,9688.62,14362.15084674
2018-02-25,9600.0,9779.49,9547.0,9624.71,2956.49574279
2018-02-26,10300.0,10390.0,10133.33,10305.56,3901.02991462
2018-02-27,10556.3,10969.99,10525.0,10940.0,4999.49303282
2018-02-28,10939.99,11044.0,10263.0,10307.27,12568.25470024
2018-03-01,10895.93,11149.0,10895.0,10983.51,4616.04936316
2018-03-02,11000.01,11362.0,11000.0,11305.04,4257.53623655
2018-03-03,11432.51,11437.24,11101.0,11199.99,2716.46173384
2018-03-04,11469.9,11599.01,11404.11,11506.0,3138.61389536
2018-03-05,11371.5,11395.63,11170.0,11298.05,4337.25413605
2018-03-06,10700.0,10894.0,10639.97,10664.99,2896.50365428
2018-03-07,10665.0,10705.0,9400.0,9925.0,24552.79152517
2018-03-08,9304.9,9410.0,8461.0,8499.9,11413.42987949
2018-03-09,8499.91,9339.0,8370.0,9255.0,26779.40799062
2018-03-10,8795.45,8850.0,8516.0,8839.96,4852.0957721
2018-03-11,9533.88,9697.05,9355.15,9550.01,3253.38796642
2018-03-12,9120.0,9450.09,8965.0,9381.33,3289.65183369
2018-03-13,9145.42,9340.0,9085.0,9092.01,2899.91124521
2018-03-14,8207.02,8263.87,7740.0,7917.0,7498.20562207
2018-03-15,7917.0,8400.0,7666.0,8259.99,18950.93085564
2018-03-16,8195.0,8600.0,8080.77,8275.0,11807.76322833
2018-03-17,7857.59,7879.62,7551.0,7588.0,4989.31848417
2018-03-18,7588.0,8302.73,7310.0,8192.0,23646.92243145
2018-03-19,8589.0,8674.32,8414.0,8457.99,4190.10638612
2018-03-20,8900.0,9143.16,8871.08,9060.9,3153.2116383
2018-03-21,9060.9,9174.0,8745.0,8891.81,11282.76330922
2018-03-22,8715.09,8715.09,8343.03,8412.06,4179.01855317
2018-03-23,8927.8,8966.55,8814.46,8940.38,2378.73522874
2018-03-24,8940.37,8999.0,8508.0,8531.34,8619.5208393
2018-03-25,8453.0,8498.0,8370.0,8438.92,1720.73555961
2018-03-26,8144.99,8219.99,7757.0,7770.0,4495.70482021
2018-03-27,7770.0,8129.0,7769.41,7793.61,9850.89482761
